idproducto,nombreproducto,precioproducto,nombrecategoria,descuento,idtienda,nombretienda
1780,Curry Paste - Green Masala,45637.27,Computers,54,17,Biotechnology: Commercial Physical & Biological Resarch
1785,Wine - Kwv Chenin Blanc South,72558.53,Garden,26,18,Mercamos
1790,Jolt Cola,19326.42,Grocery,57,19,SAO
1795,Cape Capensis - Fillet,27001.36,Jewelery,44,20,Major Banks
1800,Goat - Leg,64947.40,Computers,66,21,Doña Maria
1805,Sugar - Cubes,47522.18,Movies,3,22,Recreational Products/Toys
1810,Soup Campbells - Tomato Bisque,50423.98,Electronics,32,23,Electrical Products
1815,Curry Paste - Green Masala,43051.80,Health,30,24,Tiendita La Abuela
1820,Oil - Olive,22043.97,Games,5,25,RETAIL: Building Materials
1825,  Chicken - Leg,21254.44,Games,69,26,Fluid Controls
1830,Pie Filling - Cherry,73324.89,Clothing,22,27,Marine Transportation
1835,Wine - Barossa Valley Estate,59691.52,Computers,23,28,Ophthalmic Goods
1840,Toothpick Frilled,89511.92,Toys,34,1,Industrial Specialties
1845,Rice - Jasmine Sented,39735.21,Books,49,2,Radio And Television Broadcasting And Communications Equipment
1850,Shallots,64543.97,Movies,4,3,EDP Services
1855,Veal - Insides Provini,5338.17,Home,6,4,Real Estate
1860,  Mushroom - Shitake,69615.18,Tools,9,5,Specialty Foods
1865,Island Oasis - Strawberry,44420.79,Toys,57,6,Tienda Pepito
1870,Wine - Beringer Founders Estate,48227.13,Health,21,7,Major Pharmaceuticals
1875,Fudge - Chocolate Fudge,63251.84,Jewelery,31,8,D1
1880,  Beef - Roasted,21277.74,Garden,10,9,Investment Bankers/Brokers/Service
1885,Compound - Strawberry,80511.06,Shoes,59,10,Shoe Manufacturing
1890,  Nut - Almond,36959.96,Garden,44,11,Brooklyn Store
1895,Lid - 16 Oz And 32 Oz,13002.05,Electronics,61,12,Ara
1900,Pepper - Red Thai,50323.61,Baby,64,13,Construction/Ag Equipment/Trucks
1905,Calvados - Boulard,64422.39,Grocery,70,14,Natural Gas Distribution
1910,Wine - Cava Aria Estate Brut,70941.32,Clothing,0,15,Shoe Manufacturing
1915,Cake - Cheese Cake 9 Inch,77983.84,Music,37,16,Olimpica
1920,Sprouts - Alfalfa,92000.87,Jewelery,63,17,Biotechnology: Commercial Physical & Biological Resarch
1925,Salt - Sea,74512.67,Outdoors,51,18,Mercamos
1930,Pasta - Ravioli,87088.86,Tools,52,19,SAO
1935,  Nut - Cashews,30738.42,Jewelery,5,20,Major Banks
1940,Grapes - Green,65400.67,Health,4,21,Doña Maria
1945,Energy Drink - Redbull 355ml,14672.80,Industrial,50,22,Recreational Products/Toys
1950,Muffin Carrot - Individual,94139.62,Grocery,61,23,Electrical Products
1955,  Tart Shells - Sweet,52834.15,Books,40,24,Tiendita La Abuela
1960,  Stock - Beef,1879.13,Computers,41,25,RETAIL: Building Materials
1965,  Cup - 6oz,46689.84,Music,48,26,Fluid Controls
1970,  Beef - Bones,66090.57,Kids,9,27,Marine Transportation
1975,Cup - 4oz Translucent,33116.84,Tools,13,28,Ophthalmic Goods
1980,Cake - Pancake,76080.59,Health,11,28,Ophthalmic Goods
1985,Salami - Genova,10773.92,Clothing,55,27,Marine Transportation
1990,  Beans - Fava,14425.65,Baby,10,26,Fluid Controls
1995,Catfish - Fillets,66019.54,Shoes,23,25,RETAIL: Building Materials
2000,Bread - Raisin,51132.44,Computers,22,24,Tiendita La Abuela
2005,  Sugar - Brown,82241.39,Automotive,8,23,Electrical Products
2010,Bread - French Baquette,80629.55,Automotive,26,22,Recreational Products/Toys
2015,Bread - Sour Sticks With Onion,17655.22,Industrial,36,21,Doña Maria
2020,Shichimi Togarashi Peppeers,37928.09,Health,28,20,Major Banks
2025,Wine - Chenin Blanc K.w.v.,40735.45,Movies,65,19,SAO
2030,Flavouring Vanilla Artificial,55869.05,Garden,10,18,Mercamos
2035,Cup - Translucent 7 Oz Clear,22289.22,Sports,67,17,Biotechnology: Commercial Physical & Biological Resarch
2040,Poppy Seed,99950.89,Beauty,29,16,Olimpica
2045,Beef - Top Butt,45188.15,Computers,14,15,Shoe Manufacturing
2050,Raisin - Dark,38193.69,Clothing,63,14,Natural Gas Distribution
2055,Puree - Kiwi,71409.44,Grocery,31,13,Construction/Ag Equipment/Trucks
2060,Ecolab - Ster Bac,59673.33,Grocery,12,12,Ara
2065,  Wine - Mas Chicet Rose,41117.90,Home,17,11,Brooklyn Store
2070,Mousse - Passion Fruit,75935.47,Clothing,43,10,Shoe Manufacturing
2075,  Rum - Cream,55390.48,Industrial,30,9,Investment Bankers/Brokers/Service
2080,Bread Cranberry Foccacia,46417.60,Baby,61,8,D1
2085,  Tomatoes - Plum,39003.12,Games,5,7,Major Pharmaceuticals
2090,  Lamb - Pieces,26533.82,Jewelery,57,6,Tienda Pepito
2095,Bacardi Breezer - Strawberry,12033.94,Health,17,5,Specialty Foods
2100,Soup - Campbells Pasta Fagioli,1867.75,Grocery,65,4,Real Estate
2105,  Sole - Dover,98890.95,Movies,0,3,EDP Services
2110,Ecolab - Lime - A - Way 4/4 L,87018.60,Movies,18,2,Radio And Television Broadcasting And Communications Equipment
2115,Squash - Pepper,63237.67,Music,22,1,Industrial Specialties
2120,Wine - Vouvray Cuvee Domaine,66392.43,Jewelery,38,28,Ophthalmic Goods
2125,Wine - Gato Negro Cabernet,4690.19,Baby,59,27,Marine Transportation
2130,  Pepsi - Diet,60309.46,Sports,64,26,Fluid Controls
2135,Beer - Sleemans Honey Brown,40340.90,Health,17,25,RETAIL: Building Materials
2140,Beer - Sleemans Honey Brown,38986.95,Industrial,24,24,Tiendita La Abuela
2145,Tea - Earl Grey,75125.72,Tools,10,23,Electrical Products
2150,Sugar - Cubes,65109.08,Tools,59,22,Recreational Products/Toys
2155,Glucose,75035.12,Automotive,64,21,Doña Maria
2160,Lychee - Canned,34351.94,Electronics,15,20,Major Banks
2165,Ham - Cooked Italian,77113.87,Computers,41,19,SAO
2170,  Veal - Shank,89802.65,Automotive,34,18,Mercamos
2175,Mustard - Seed,16647.53,Outdoors,57,17,Biotechnology: Commercial Physical & Biological Resarch
2180,  Rum - Spiced,52371.03,Electronics,16,16,Olimpica
2185,Vector Energy Bar,16064.69,Books,26,15,Shoe Manufacturing
2190,Containter - 3oz Microwave Rect.,74181.35,Games,40,14,Natural Gas Distribution
2195,Muffin Mix - Corn Harvest,54597.43,Baby,24,13,Construction/Ag Equipment/Trucks
2200,Bagel - Ched Chs Presliced,47302.75,Electronics,4,12,Ara
2205,Island Oasis - Lemonade,34960.78,Computers,35,11,Brooklyn Store
2210,Extract - Almond,80373.56,Electronics,40,10,Shoe Manufacturing
2215,  Pasta - Rotini,15946.79,Automotive,49,9,Investment Bankers/Brokers/Service
2220,Sausage - Liver,96489.36,Books,13,8,D1
2225,Squid U5 - Thailand,67782.86,Baby,0,7,Major Pharmaceuticals
2230,Cheese - Marble,93467.55,Computers,59,6,Tienda Pepito
2235,Puree - Blackcurrant,41926.42,Baby,38,5,Specialty Foods
2240,  Beans - Kidney,77613.79,Games,39,4,Real Estate
2245,Bread - Italian Roll With Herbs,48771.83,Outdoors,30,3,EDP Services
2250,Pastry - Chocolate Chip Muffin,99674.23,Sports,33,2,Radio And Television Broadcasting And Communications Equipment
2255,Beef - Kobe Striploin,35628.70,Movies,4,1,Industrial Specialties
2260,Cinnamon - Stick,86224.98,Electronics,48,1,Industrial Specialties
2265,  Wine - Red,16332.68,Automotive,62,2,Radio And Television Broadcasting And Communications Equipment
2270,  Flour - Bran,48874.87,Clothing,25,3,EDP Services
2275,Haggis,73222.03,Books,14,4,Real Estate
2280,Wine - Conde De Valdemar,66206.82,Shoes,8,5,Specialty Foods
2285,Energy Drink - Franks Pineapple,16801.45,Beauty,65,6,Tienda Pepito
2290,Cheese - Sheep Milk,7390.93,Movies,19,7,Major Pharmaceuticals
2295,Chickhen - Chicken Phyllo,19177.81,Health,43,8,D1
2300,Chips - Potato Jalapeno,53997.81,Garden,64,9,Investment Bankers/Brokers/Service
2305,Wine - Prosecco Valdobiaddene,20554.75,Garden,25,10,Shoe Manufacturing
2310,Chocolate - Mi - Amere Semi,44377.56,Computers,12,11,Brooklyn Store
2315,Bacardi Breezer - Strawberry,90773.94,Music,48,12,Ara
2320,Chinese Foods - Chicken,14625.65,Grocery,58,13,Construction/Ag Equipment/Trucks
2325,Gherkin - Sour,17823.70,Beauty,8,14,Natural Gas Distribution
2330,Bar Nature Valley,64089.86,Garden,57,15,Shoe Manufacturing
2335,Bananas,54923.08,Baby,40,16,Olimpica
2340,Bandage - Fexible 1x3,7830.64,Industrial,60,17,Biotechnology: Commercial Physical & Biological Resarch
2345,Oil - Grapeseed Oil,50291.36,Beauty,41,18,Mercamos
2350,Appetizer - Assorted Box,90071.98,Industrial,40,19,SAO
2355,Sugar - Fine,37178.60,Garden,67,20,Major Banks
2360,Mahi Mahi,46249.83,Baby,13,21,Doña Maria
2365,Sour Puss Raspberry,14417.56,Outdoors,64,22,Recreational Products/Toys
2370,Cotton Wet Mop 16 Oz,14698.14,Books,47,23,Electrical Products
2375,Chinese Foods - Cantonese,91540.18,Clothing,12,24,Tiendita La Abuela
2380,  Fish - Atlantic Salmon,88218.12,Grocery,65,25,RETAIL: Building Materials
2385,Beer - Labatt Blue,39535.28,Toys,38,26,Fluid Controls
2390,Wine - Hardys Bankside Shiraz,82730.32,Computers,60,27,Marine Transportation
2395,Seaweed Green Sheets,85349.10,Shoes,58,28,Ophthalmic Goods
2400,Salmon Atl.whole 8 - 10 Lb,50474.96,Home,23,1,Industrial Specialties
2405,Mushroom - White Button,34059.18,Garden,30,2,Radio And Television Broadcasting And Communications Equipment
2410,Chevere Logs,18306.90,Shoes,62,3,EDP Services
2415,Shopper Bag - S - 4,71969.07,Books,5,4,Real Estate
2420,  Lamb - Leg,77665.80,Home,62,5,Specialty Foods
2425,Soup Campbells - Italian Wedding,80726.88,Electronics,56,6,Tienda Pepito
2430,Cheese - Bocconcini,68733.28,Toys,17,7,Major Pharmaceuticals
2435,Wine - Pinot Noir Latour,16537.42,Tools,11,8,D1
2440,Cheese - Parmesan Cubes,39203.21,Baby,12,9,Investment Bankers/Brokers/Service
2445,Onion - Dried,77800.36,Computers,27,10,Shoe Manufacturing
2450,Soup Campbells Mexicali Tortilla,29586.70,Books,26,11,Brooklyn Store
2455,Wine - Sicilia Igt Nero Avola,36418.88,Outdoors,63,12,Ara
2460,Mousse - Passion Fruit,59834.68,Kids,11,13,Construction/Ag Equipment/Trucks
2465,Pasta - Fusili Tri - Coloured,40025.09,Jewelery,66,14,Natural Gas Distribution
2470,Venison - Ground,93778.99,Grocery,65,15,Shoe Manufacturing
2475,  Sauce - Black Current,73186.63,Industrial,36,16,Olimpica
2480,Juice - Happy Planet,10828.16,Baby,23,17,Biotechnology: Commercial Physical & Biological Resarch
2485,Sausage - Andouille,64293.41,Music,39,18,Mercamos
2490,Cheese - Le Cru Du Clocher,96941.14,Baby,1,19,SAO
2495,Bar Mix - Lime,15723.34,Games,50,20,Major Banks
2500,Dawn Professionl Pot And Pan,47301.86,Automotive,62,21,Doña Maria
2505,Island Oasis - Ice Cream Mix,73047.73,Industrial,4,22,Recreational Products/Toys
2510,  Mushroom - Chantrelle,93434.43,Games,68,23,Electrical Products
2515,Bread - Pumpernickel,16261.46,Games,54,24,Tiendita La Abuela
2520,  Cheese - Havarti,88443.62,Books,13,25,RETAIL: Building Materials
2525,Pork - Shoulder,51984.89,Sports,23,26,Fluid Controls
2530,Wanton Wrap,83566.81,Health,60,27,Marine Transportation
2535,Buffalo - Striploin,86218.39,Automotive,3,28,Ophthalmic Goods
2540,Gelatine Leaves - Bulk,45351.54,Garden,15,1,Industrial Specialties
2545,Shrimp - Black Tiger 13/15,27460.55,Home,25,2,Radio And Television Broadcasting And Communications Equipment
2550,  Ranchero - Primerba,66071.58,Kids,13,3,EDP Services
2555,Oil - Sesame,10767.61,Electronics,38,4,Real Estate
2560,  Shrimp,76840.30,Movies,61,5,Specialty Foods
2565,Wine - Rosso Toscano Igt,10898.02,Movies,32,6,Tienda Pepito
2570,Chocolate - Dark Callets,29432.73,Industrial,68,7,Major Pharmaceuticals
2575,Silicone Paper 16.5x24,22326.87,Shoes,7,8,D1
2580,  Pasta - Fett Alfredo,86043.31,Health,46,9,Investment Bankers/Brokers/Service
2585,  Soup - Campbells,61690.84,Jewelery,63,10,Shoe Manufacturing
2590,Lid Coffeecup 12oz D9542b,48430.63,Sports,50,11,Brooklyn Store
2595,Filling - Mince Meat,71646.52,Industrial,2,12,Ara
2600,Kippers - Smoked,38604.78,Tools,19,13,Construction/Ag Equipment/Trucks
2605,  Tart Shells - Savory,33249.53,Health,70,14,Natural Gas Distribution
2610,Oil - Sesame,16822.69,Games,69,15,Shoe Manufacturing
2615,Bread - Wheat Baguette,22555.85,Home,33,16,Olimpica
2620,Wine - Cousino Macul Antiguas,77180.98,Shoes,55,17,Biotechnology: Commercial Physical & Biological Resarch
2625,Port - 74 Brights,28481.72,Shoes,51,18,Mercamos
2630,  Jam - Strawberry,50156.73,Automotive,33,19,SAO
2635,  Wine - Magnotta - Red,95122.48,Jewelery,38,20,Major Banks
2640,Dooleys Toffee,92089.21,Movies,35,21,Doña Maria
2645,Milk - Skim,67644.62,Computers,3,22,Recreational Products/Toys
2650,  Star Anise,80425.38,Outdoors,56,23,Electrical Products
2655,Island Oasis - Raspberry,40360.42,Home,25,24,Tiendita La Abuela
2660,Couscous,84722.97,Beauty,33,25,RETAIL: Building Materials
2665,  Yogurt - Peach,68011.32,Electronics,23,26,Fluid Controls
2670,Cheese - Parmesan Grated,87192.13,Games,37,27,Marine Transportation
2675,Catfish - Fillets,39550.56,Outdoors,54,28,Ophthalmic Goods
2680,Sauce Tomato Pouch,97721.84,Music,48,28,Ophthalmic Goods
2685,Muffin Mix - Lemon Cranberry,51195.26,Toys,46,27,Marine Transportation
2690,Okra,6435.46,Outdoors,68,26,Fluid Controls
2695,Towel Multifold,86740.01,Jewelery,67,25,RETAIL: Building Materials
2700,Mudslide,14600.63,Electronics,41,24,Tiendita La Abuela
2705,Cakes Assorted,16758.25,Movies,14,23,Electrical Products
2710,Gelatine Powder,53291.82,Garden,36,22,Recreational Products/Toys
2715,Wine - Gewurztraminer Pierre,64934.60,Outdoors,42,21,Doña Maria
2720,Temperature Recording Station,44336.91,Grocery,6,20,Major Banks
2725,  Pepper - White,95541.49,Health,46,19,SAO
2730,Bread - Hamburger Buns,63082.34,Games,62,18,Mercamos
2735,Pie Filling - Apple,55899.90,Sports,47,17,Biotechnology: Commercial Physical & Biological Resarch
2740,Tamarillo,96155.28,Beauty,33,16,Olimpica
2745,Cookies - Amaretto,48290.93,Shoes,14,15,Shoe Manufacturing
2750,  Rum - Coconut,68000.36,Kids,1,14,Natural Gas Distribution
2755,Pear - Halves,85412.99,Tools,7,13,Construction/Ag Equipment/Trucks
2760,  Wine - Red,31998.84,Electronics,13,12,Ara
2765,Jam - Raspberry,1902.51,Shoes,56,11,Brooklyn Store
2770,Ezy Change Mophandle,73599.67,Sports,63,10,Shoe Manufacturing
2775,Sauce - Thousand Island,53147.68,Toys,10,9,Investment Bankers/Brokers/Service
2780,Island Oasis - Sweet And Sour Mix,25260.17,Automotive,62,8,D1
2785,  Doilies - 7,58962.93,Garden,67,7,Major Pharmaceuticals
2790,Turnip - Mini,77028.50,Industrial,60,6,Tienda Pepito
2795,Mushroom - Portebello,51066.53,Toys,55,5,Specialty Foods
2800,Wine - Magnotta - Cab Franc,31612.87,Sports,62,4,Real Estate
2805,  Veal - Round,28330.81,Sports,51,3,EDP Services
2810,  Vermouth - Sweet,73589.61,Tools,11,2,Radio And Television Broadcasting And Communications Equipment
2815,Piping Jelly - All Colours,56730.94,Music,49,1,Industrial Specialties
2820,Kiwano,93844.40,Grocery,65,28,Ophthalmic Goods
2825,Gooseberry,64508.58,Baby,58,27,Marine Transportation
